buenos ,Año,Titulo,Serie/Pelicula,Día de la semana,Palabra 1,Palabra 2,Palabra 3,Palabra 4,Palabra 5,Palabra 6,Palabra 7,Palabra 8,Palabra 9,Palabra 10,Palabra 11,Palabra 12,Palabra 13,Palabra 14,Palabra 15,Palabra 16,Palabra 17,Palabra 18,Palabra 19,Palabra 20,Palabra 21,Palabra 22,Palabra 23
19/08/2026,2026,Moria: El Obelisco con tetas,Serie,miércoles,Moria:,El,Obelisco,con,tetas,,,,,,,,,,,,,,,,,,
19/08/2026,2026,Peaky Blinders: Temporada 4: La horca,Serie,miércoles,Peaky,Blinders:,Temporada,4:,La,horca,,,,,,,,,,,,,,,,,
19/08/2026,2026,Peaky Blinders: Temporada 3: Episodio 6,Serie,miércoles,Peaky,Blinders:,Temporada,3:,Episodio,6,,,,,,,,,,,,,,,,,
08/08/2026,2026,Berlín y la dama del armiño: Miniserie: El síndrome de Stendhal,Serie,sábado,Berlín,y,la,dama,del,armiño:,Miniserie:,El,síndrome,de,Stendhal,,,,,,,,,,,,
08/08/2026,2026,Berlín y la dama del armiño: Miniserie: Un canto a la vida,Serie,sábado,Berlín,y,la,dama,del,armiño:,Miniserie:,Un,canto,a,la,vida,,,,,,,,,,,
05/08/2026,2026,Berlín y la dama del armiño: Miniserie: La colección,Serie,miércoles,Berlín,y,la,dama,del,armiño:,Miniserie:,La,colección,,,,,,,,,,,,,,
01/08/2026,2026,The Boroughs: Jubilación rebelde: Triple cambio de planes,Serie,sábado,The,Boroughs:,Jubilación,rebelde:,Triple,cambio,de,planes,,,,,,,,,,,,,,,
01/08/2026,2026,The Boroughs: Jubilación rebelde: Hora de irse,Serie,sábado,The,Boroughs:,Jubilación,rebelde:,Hora,de,irse,,,,,,,,,,,,,,,,
31/07/2026,2026,The Boroughs: Jubilación rebelde: La rebelión mayor,Serie,viernes,The,Boroughs:,Jubilación,rebelde:,La,rebelión,mayor,,,,,,,,,,,,,,,,
31/07/2026,2026,The Boroughs: Jubilación rebelde: Otro hermoso día,Serie,viernes,The,Boroughs:,Jubilación,rebelde:,Otro,hermoso,día,,,,,,,,,,,,,,,,
30/07/2026,2026,The Boroughs: Jubilación rebelde: Fruto prohibido,Serie,jueves,The,Boroughs:,Jubilación,rebelde:,Fruto,prohibido,,,,,,,,,,,,,,,,,
29/07/2026,2026,The Boroughs: Jubilación rebelde: Una pirámide,Serie,miércoles,The,Boroughs:,Jubilación,rebelde:,Una,pirámide,,,,,,,,,,,,,,,,,
25/07/2026,2026,The Boroughs: Jubilación rebelde: El día de duelo,Serie,sábado,The,Boroughs:,Jubilación,rebelde:,El,día,de,duelo,,,,,,,,,,,,,,,
23/07/2026,2026,The Boroughs: Jubilación rebelde: Bienvenidos a The Boroughs,Serie,jueves,The,Boroughs:,Jubilación,rebelde:,Bienvenidos,a,The,Boroughs,,,,,,,,,,,,,,,
22/07/2026,2026,Heartstopper Forever,Película,miércoles,Heartstopper,Forever,,,,,,,,,,,,,,,,,,,,,
19/07/2026,2026,Te encontraré: Miniserie: Episodio 8,Serie,domingo,Te,encontraré:,Miniserie:,Episodio,8,,,,,,,,,,,,,,,,,,
18/07/2026,2026,Te encontraré: Miniserie: Episodio 7,Serie,sábado,Te,encontraré:,Miniserie:,Episodio,7,,,,,,,,,,,,,,,,,,
17/07/2026,2026,Te encontraré: Miniserie: Episodio 6,Serie,viernes,Te,encontraré:,Miniserie:,Episodio,6,,,,,,,,,,,,,,,,,,
15/07/2026,2026,Te encontraré: Miniserie: Episodio 5,Serie,miércoles,Te,encontraré:,Miniserie:,Episodio,5,,,,,,,,,,,,,,,,,,
15/07/2026,2026,Te encontraré: Miniserie: Episodio 4,Serie,miércoles,Te,encontraré:,Miniserie:,Episodio,4,,,,,,,,,,,,,,,,,,
14/07/2026,2026,Te encontraré: Miniserie: Episodio 3,Serie,martes,Te,encontraré:,Miniserie:,Episodio,3,,,,,,,,,,,,,,,,,,
14/07/2026,2026,Te encontraré: Miniserie: Episodio 2,Serie,martes,Te,encontraré:,Miniserie:,Episodio,2,,,,,,,,,,,,,,,,,,
13/07/2026,2026,Te encontraré: Miniserie: Episodio 1,Serie,lunes,Te,encontraré:,Miniserie:,Episodio,1,,,,,,,,,,,,,,,,,,
11/07/2026,2026,La mujer del camarote 10,Película,sábado,La,mujer,del,camarote,10,,,,,,,,,,,,,,,,,,
09/06/2026,2026,Michael Jackson: El veredicto: Episodio 3,Serie,martes,Michael,Jackson:,El,veredicto:,Episodio,3,,,,,,,,,,,,,,,,,
09/06/2026,2026,Michael Jackson: El veredicto: Episodio 2,Serie,martes,Michael,Jackson:,El,veredicto:,Episodio,2,,,,,,,,,,,,,,,,,
09/06/2026,2026,Michael Jackson: El veredicto: Episodio 1,Serie,martes,Michael,Jackson:,El,veredicto:,Episodio,1,,,,,,,,,,,,,,,,,
09/06/2026,2026,Interconectados: El bono,Película,martes,Interconectados:,El,bono,,,,,,,,,,,,,,,,,,,,
05/06/2026,2026,El Hobbit: Un viaje inesperado,Película,viernes,El,Hobbit:,Un,viaje,inesperado,,,,,,,,,,,,,,,,,,
05/06/2026,2026,Interconectados: El regalo,Película,viernes,Interconectados:,El,regalo,,,,,,,,,,,,,,,,,,,,
04/06/2026,2026,Interconectados: El abrigo blanco,Película,jueves,Interconectados:,El,abrigo,blanco,,,,,,,,,,,,,,,,,,,
04/06/2026,2026,Interconectados: El folleto,Película,jueves,Interconectados:,El,folleto,,,,,,,,,,,,,,,,,,,,
03/06/2026,2026,Interconectados: La tormenta,Película,miércoles,Interconectados:,La,tormenta,,,,,,,,,,,,,,,,,,,,
02/06/2026,2026,Carísima: ¿Quién es Caro Pardíaco?,Película,martes,Carísima:,¿Quién,es,Caro,Pardíaco?,,,,,,,,,,,,,,,,,,
31/05/2026,2026,Presas,Película,domingo,Presas,,,,,,,,,,,,,,,,,,,,,,
31/05/2026,2026,Máquina de guerra,Película,domingo,Máquina,de,guerra,,,,,,,,,,,,,,,,,,,,
30/05/2026,2026,Interconectados: Goteo,Película,sábado,Interconectados:,Goteo,,,,,,,,,,,,,,,,,,,,,
29/05/2026,2026,Interconectados: El billete,Película,viernes,Interconectados:,El,billete,,,,,,,,,,,,,,,,,,,,
28/05/2026,2026,Interconectados: Una piedra,Película,jueves,Interconectados:,Una,piedra,,,,,,,,,,,,,,,,,,,,
25/05/2026,2026,Misión: Imposible - La sentencia final,Película,lunes,Misión:,Imposible,-,La,sentencia,final,,,,,,,,,,,,,,,,,
21/05/2026,2026,El dilema de las redes sociales,Película,jueves,El,dilema,de,las,redes,sociales,,,,,,,,,,,,,,,,,
17/05/2026,2026,Intercambiados,Película,domingo,Intercambiados,,,,,,,,,,,,,,,,,,,,,,
16/05/2026,2026,Ápex,Película,sábado,Ápex,,,,,,,,,,,,,,,,,,,,,,
04/05/2026,2026,La bestia en mí: Miniserie: La última palabra,Serie,lunes,La,bestia,en,mí:,Miniserie:,La,última,palabra,,,,,,,,,,,,,,,
03/05/2026,2026,La bestia en mí: Miniserie: Fantasmas,Serie,domingo,La,bestia,en,mí:,Miniserie:,Fantasmas,,,,,,,,,,,,,,,,,
03/05/2026,2026,La bestia en mí: Miniserie: La bestia y yo,Serie,domingo,La,bestia,en,mí:,Miniserie:,La,bestia,y,yo,,,,,,,,,,,,,,
02/05/2026,2026,La bestia en mí: Miniserie: Bacanal,Serie,sábado,La,bestia,en,mí:,Miniserie:,Bacanal,,,,,,,,,,,,,,,,,
02/05/2026,2026,La bestia en mí: Miniserie: Tánatos,Serie,sábado,La,bestia,en,mí:,Miniserie:,Tánatos,,,,,,,,,,,,,,,,,
01/05/2026,2026,La bestia en mí: Miniserie: El elefante en la habitación,Serie,viernes,La,bestia,en,mí:,Miniserie:,El,elefante,en,la,habitación,,,,,,,,,,,,,
